,polarity_oplexicon,polarity_sentilex,subject,journal,sent_none,sent_neg,sent_pos,sent_neut,opl_none,opl_neg,opl_pos,opl_neut,fileid
48,-14,-8,impeachment-dilma,elpais,381,11,3,1,305,31,17,43,brasil.elpais.com___brasil_2016_08_10_politica_1470784384_557956.html.txt
49,15,24,impeachment-dilma,elpais,681,25,49,7,515,57,72,118,brasil.elpais.com___brasil_2016_08_16_politica_1471370577_438351.html.txt
50,9,-1,impeachment-dilma,elpais,606,15,14,3,479,31,40,88,brasil.elpais.com___brasil_2016_08_20_politica_1471655801_573594.html.txt
51,-3,-8,impeachment-dilma,elpais,470,13,5,4,391,30,27,44,brasil.elpais.com___brasil_2016_08_27_politica_1472257804_067144.html.txt
52,1,-1,impeachment-dilma,elpais,594,12,11,4,479,36,37,69,brasil.elpais.com___brasil_2016_08_30_politica_1472516314_396319.html.txt
53,0,-1,impeachment-dilma,elpais,76,2,1,0,65,4,4,6,brasil.elpais.com___brasil_2016_08_30_politica_1472559177_490168.html.txt
54,-12,-8,impeachment-dilma,elpais,369,18,10,2,295,35,23,46,brasil.elpais.com___brasil_2016_08_31_opinion_1472650538_750062.html.txt
55,15,11,impeachment-dilma,elpais,353,2,13,4,272,20,35,45,brasil.elpais.com___brasil_2016_08_31_politica_1472676017_457817.html.txt
56,27,4,impeachment-dilma,elpais,484,13,17,2,368,22,49,77,brasil.elpais.com___brasil_2016_09_01_politica_1472682956_242080.html.txt
57,-3,-1,impeachment-dilma,elpais,238,3,2,1,208,8,5,23,brasil.elpais.com___brasil_2016_09_01_politica_1472698540_990899.html.txt
58,8,5,impeachment-dilma,elpais,332,3,8,2,251,21,29,44,brasil.elpais.com___brasil_2016_09_07_internacional_1473281921_337121.html.txt
59,-4,-6,impeachment-dilma,elpais,401,9,3,3,308,22,18,68,brasil.elpais.com___brasil_2016_09_10_politica_1473459058_393103.html.txt
60,7,-5,afastamento-aecio,elpais,234,8,3,0,189,13,20,23,brasil.elpais.com___brasil_2017_03_02_politica_1488465624_752767.html.txt
61,2,-7,reforma-trabalhista,elpais,371,15,8,1,289,23,25,58,brasil.elpais.com___brasil_2017_03_03_politica_1488567662_626759.html.txt
62,-7,6,reforma-trabalhista,elpais,354,5,11,0,293,22,15,40,brasil.elpais.com___brasil_2017_03_14_politica_1489527515_791102.html.txt
63,33,11,reforma-trabalhista,elpais,557,8,19,1,426,22,55,82,brasil.elpais.com___brasil_2017_03_21_politica_1490127891_298981.html.txt
64,8,0,reforma-trabalhista,elpais,831,9,9,9,613,49,57,139,brasil.elpais.com___brasil_2017_03_29_opinion_1490806331_286763.html.txt
65,3,-10,reforma-trabalhista,elpais,271,11,1,2,215,12,15,43,brasil.elpais.com___brasil_2017_03_30_politica_1490900263_754660.html.txt
66,2,-7,reforma-trabalhista,elpais,354,17,10,2,296,20,22,45,brasil.elpais.com___brasil_2017_04_01_politica_1491007616_060512.html.txt
67,3,9,reforma-trabalhista,elpais,324,1,10,4,243,18,21,57,brasil.elpais.com___brasil_2017_04_18_politica_1492538007_595666.html.txt
68,16,1,reforma-trabalhista,elpais,407,7,8,1,314,16,32,61,brasil.elpais.com___brasil_2017_04_21_economia_1492726431_998946.html.txt
69,15,1,reforma-trabalhista,elpais,616,11,12,1,474,28,43,95,brasil.elpais.com___brasil_2017_04_22_politica_1492814264_277616.html.txt
70,51,27,reforma-trabalhista,elpais,1039,17,44,5,840,46,97,122,brasil.elpais.com___brasil_2017_04_25_politica_1493074533_442768.html.txt
71,25,-4,reforma-trabalhista,elpais,830,10,6,1,669,24,49,105,brasil.elpais.com___brasil_2017_04_25_politica_1493142273_498795.html.txt
72,0,0,reforma-trabalhista,elpais,425,6,6,0,338,20,20,59,brasil.elpais.com___brasil_2017_04_26_politica_1493228744_734088.html.txt
73,23,4,reforma-trabalhista,elpais,620,15,19,5,500,29,52,78,brasil.elpais.com___brasil_2017_04_26_politica_1493239710_815493.html.txt
74,4,-7,reforma-trabalhista,elpais,568,20,13,5,454,30,34,88,brasil.elpais.com___brasil_2017_04_27_internacional_1493296487_352960.html.txt
75,10,13,reforma-trabalhista,elpais,315,9,22,4,238,29,39,44,brasil.elpais.com___brasil_2017_04_27_politica_1493248308_190135.html.txt
76,26,0,reforma-trabalhista,elpais,751,8,8,2,627,20,46,76,brasil.elpais.com___brasil_2017_04_27_politica_1493303188_266659.html.txt
77,-1,0,reforma-trabalhista,elpais,13,0,0,0,10,1,0,2,brasil.elpais.com___brasil_2017_04_28_album_1493370617_756920.html.txt
78,0,-1,reforma-trabalhista,elpais,252,6,5,2,190,18,18,39,brasil.elpais.com___brasil_2017_04_28_politica_1493403387_106996.html.txt
79,13,-1,reforma-trabalhista,elpais,208,9,8,0,153,7,20,45,brasil.elpais.com___brasil_2017_05_01_actualidad_1493660125_039251.html.txt
80,5,-1,reforma-trabalhista,elpais,1199,41,40,10,937,86,91,176,brasil.elpais.com___brasil_2017_05_01_opinion_1493666728_748294.html.txt
81,13,2,reforma-trabalhista,elpais,358,10,12,3,280,18,31,54,brasil.elpais.com___brasil_2017_05_01_politica_1493667036_221043.html.txt
82,15,2,reforma-trabalhista,elpais,430,3,5,2,329,14,29,68,brasil.elpais.com___brasil_2017_05_04_politica_1493852422_954101.html.txt
83,28,7,reforma-trabalhista,elpais,626,12,19,7,528,18,46,72,brasil.elpais.com___brasil_2017_05_04_politica_1493927909_366887.html.txt
84,11,-20,reforma-trabalhista,elpais,569,37,17,5,463,37,48,80,brasil.elpais.com___brasil_2017_05_11_politica_1494531783_848435.html.txt
85,5,-9,reforma-trabalhista,elpais,473,20,11,4,397,20,25,66,brasil.elpais.com___brasil_2017_05_18_economia_1495143459_395778.html.txt
86,-2,-7,afastamento-aecio,elpais,270,10,3,1,221,20,18,25,brasil.elpais.com___brasil_2017_05_18_politica_1495105098_952902.html.txt
87,6,-1,afastamento-aecio,elpais,305,5,4,1,244,13,19,39,brasil.elpais.com___brasil_2017_05_19_deportes_1495208129_874657.html.txt
88,-1,-1,afastamento-aecio,elpais,263,8,7,3,206,19,18,38,brasil.elpais.com___brasil_2017_05_22_politica_1495471262_064279.html.txt
89,-4,-9,afastamento-aecio,elpais,729,21,12,7,611,43,39,76,brasil.elpais.com___brasil_2017_05_22_politica_1495479650_984383.html.txt
90,18,12,afastamento-aecio,elpais,566,5,17,7,462,21,39,73,brasil.elpais.com___brasil_2017_05_24_politica_1495659673_925165.html.txt
91,-4,-7,afastamento-aecio,elpais,433,18,11,3,367,31,27,40,brasil.elpais.com___brasil_2017_05_30_politica_1496177290_569617.html.txt
92,8,-12,afastamento-aecio,elpais,492,19,7,1,407,31,39,42,brasil.elpais.com___brasil_2017_06_01_politica_1496345795_415837.html.txt
93,44,12,reforma-trabalhista,elpais,714,9,21,3,542,28,72,105,brasil.elpais.com___brasil_2017_06_16_economia_1497635788_119553.html.txt
94,15,-7,reforma-trabalhista,elpais,454,18,11,0,369,19,34,61,brasil.elpais.com___brasil_2017_06_20_politica_1497989756_924547.html.txt
95,6,-2,reforma-trabalhista,elpais,353,5,3,0,281,16,22,42,brasil.elpais.com___brasil_2017_06_21_deportes_1497997158_880136.html.txt
96,0,-4,afastamento-aecio,elpais,184,7,3,1,158,12,12,13,brasil.elpais.com___brasil_2017_06_24_politica_1498256541_276454.html.txt
97,4,-3,reforma-trabalhista,elpais,414,8,5,1,343,18,22,45,brasil.elpais.com___brasil_2017_06_29_politica_1498748829_852994.html.txt
98,1,0,afastamento-aecio,elpais,227,5,5,3,190,16,17,17,brasil.elpais.com___brasil_2017_06_30_politica_1498834680_138529.html.txt
99,6,-7,afastamento-aecio,elpais,577,19,12,6,461,39,45,69,brasil.elpais.com___brasil_2017_07_01_politica_1498929668_859837.html.txt
100,10,1,afastamento-aecio,elpais,325,8,9,3,273,15,25,32,brasil.elpais.com___brasil_2017_07_06_politica_1499355819_599478.html.txt
101,24,11,reforma-trabalhista,elpais,547,7,18,4,433,28,52,63,brasil.elpais.com___brasil_2017_07_13_politica_1499958789_546835.html.txt
102,7,-15,reforma-trabalhista,elpais,1270,50,35,12,951,88,95,233,brasil.elpais.com___brasil_2017_07_21_economia_1500671743_676963.html.txt
103,65,-6,reforma-trabalhista,elpais,1235,31,25,16,885,76,141,205,brasil.elpais.com___brasil_2017_08_04_politica_1501799787_669833.html.txt
104,13,-4,reforma-trabalhista,elpais,524,14,10,2,430,30,43,47,brasil.elpais.com___brasil_2017_08_14_politica_1502721247_786237.html.txt
105,2,-16,afastamento-aecio,elpais,447,18,2,4,352,29,31,59,brasil.elpais.com___brasil_2017_08_19_politica_1503102587_092279.html.txt
106,19,7,reforma-trabalhista,elpais,493,8,15,8,386,22,41,75,brasil.elpais.com___brasil_2017_08_31_internacional_1504172887_983395.html.txt
107,2,-3,afastamento-aecio,elpais,153,5,2,0,132,9,11,8,brasil.elpais.com___brasil_2017_09_27_politica_1506465951_537349.html.txt
108,-1,1,afastamento-aecio,elpais,442,12,13,4,367,29,28,47,brasil.elpais.com___brasil_2017_10_11_politica_1507740544_240494.html.txt
109,-12,-3,afastamento-aecio,elpais,330,14,11,3,268,29,17,44,brasil.elpais.com___brasil_2017_10_17_politica_1508267354_678151.html.txt
110,2,-2,reforma-trabalhista,elpais,538,14,12,3,410,40,42,75,brasil.elpais.com___brasil_2017_11_10_economia_1510331929_272813.html.txt
111,8,-11,reforma-trabalhista,elpais,296,14,3,1,250,14,22,28,brasil.elpais.com___brasil_2017_11_10_opinion_1510318260_752511.html.txt
112,16,7,reforma-trabalhista,elpais,360,8,15,0,299,12,28,44,brasil.elpais.com___brasil_2017_11_10_politica_1510337084_798012.html.txt
113,6,15,reforma-trabalhista,elpais,711,10,25,5,604,39,45,63,brasil.elpais.com___brasil_2017_11_15_economia_1510773029_686202.html.txt
114,15,9,reforma-trabalhista,elpais,389,4,13,2,310,19,34,45,brasil.elpais.com___brasil_2017_11_15_politica_1510702112_772288.html.txt
115,18,4,reforma-trabalhista,elpais,352,3,7,5,267,11,29,60,brasil.elpais.com___brasil_2017_11_22_politica_1511372635_524569.html.txt
116,30,6,reforma-trabalhista,elpais,484,0,6,1,376,12,42,61,brasil.elpais.com___brasil_2017_11_23_politica_1511462959_394417.html.txt
117,-13,-12,prisao-lula,elpais,366,17,5,4,311,33,20,28,brasil.elpais.com___brasil_2018_03_21_politica_1521667364_977847.html.txt
118,-1,-4,prisao-lula,elpais,97,7,3,0,84,8,7,8,brasil.elpais.com___brasil_2018_03_22_politica_1521729755_637601.html.txt
119,2,-23,prisao-lula,elpais,414,29,6,1,349,34,36,31,brasil.elpais.com___brasil_2018_03_22_politica_1521749058_576833.html.txt
120,-4,-2,prisao-lula,elpais,87,2,0,1,73,7,3,7,brasil.elpais.com___brasil_2018_03_26_politica_1522074828_633998.html.txt
121,-6,-6,prisao-lula,elpais,466,15,9,1,387,33,27,44,brasil.elpais.com___brasil_2018_03_26_politica_1522082315_074307.html.txt
122,7,-6,prisao-lula,elpais,739,22,16,6,590,43,50,100,brasil.elpais.com___brasil_2018_03_26_politica_1522086274_176444.html.txt
123,-1,-5,prisao-lula,elpais,724,17,12,4,640,28,27,62,brasil.elpais.com___brasil_2018_03_28_politica_1522246580_512544.html.txt
124,-4,-30,prisao-lula,elpais,819,47,17,5,695,59,55,79,brasil.elpais.com___brasil_2018_04_03_politica_1522765227_879037.html.txt
125,-3,-4,prisao-lula,elpais,133,7,3,0,115,11,8,9,brasil.elpais.com___brasil_2018_04_03_politica_1522781676_848505.html.txt
126,-1,-3,prisao-lula,elpais,629,24,21,3,524,37,36,80,brasil.elpais.com___brasil_2018_04_04_politica_1522803698_804414.html.txt
127,13,-22,prisao-lula,elpais,706,41,19,3,576,44,57,92,brasil.elpais.com___brasil_2018_04_04_politica_1522869590_474972.html.txt
128,1,-14,prisao-lula,elpais,374,26,12,1,321,28,29,35,brasil.elpais.com___brasil_2018_04_04_politica_1522878768_532763.html.txt
129,-10,-43,prisao-lula,elpais,1315,65,22,9,1146,69,59,137,brasil.elpais.com___brasil_2018_04_05_politica_1522917041_563602.html.txt
130,6,0,prisao-lula,elpais,84,2,2,1,68,3,9,9,brasil.elpais.com___brasil_2018_04_05_politica_1522963303_065710.html.txt
131,3,3,prisao-lula,elpais,478,10,13,1,391,32,35,44,brasil.elpais.com___brasil_2018_04_06_politica_1522966312_016125.html.txt
132,-14,-8,prisao-lula,elpais,351,16,8,1,295,34,20,27,brasil.elpais.com___brasil_2018_04_06_politica_1522966647_821554.html.txt
133,9,1,prisao-lula,elpais,375,14,15,4,307,21,30,50,brasil.elpais.com___brasil_2018_04_06_politica_1523033454_739753.html.txt
134,8,-25,prisao-lula,elpais,446,33,8,1,398,29,37,24,brasil.elpais.com___brasil_2018_04_06_politica_1523050291_534837.html.txt
135,-1,-3,prisao-lula,elpais,14,3,0,0,16,1,0,0,brasil.elpais.com___brasil_2018_04_08_album_1523143632_613898.html.txt
136,5,-9,prisao-lula,elpais,515,24,15,5,393,44,49,73,brasil.elpais.com___brasil_2018_04_08_politica_1523145272_467301.html.txt
137,46,7,prisao-lula,elpais,1970,80,87,19,1578,130,176,272,brasil.elpais.com___brasil_2018_04_09_politica_1523288070_346855.html.txt
138,-3,-10,prisao-lula,elpais,461,18,8,5,390,28,25,49,brasil.elpais.com___brasil_2018_04_10_politica_1523382639_997189.html.txt
139,1,-10,prisao-lula,elpais,354,24,14,5,267,38,39,53,brasil.elpais.com___brasil_2018_04_10_politica_1523397285_097805.html.txt
140,-2,-11,prisao-lula,elpais,347,23,12,9,273,35,33,50,brasil.elpais.com___brasil_2018_04_12_opinion_1523564591_777993.html.txt
141,12,12,prisao-lula,elpais,552,22,34,5,431,39,51,92,brasil.elpais.com___brasil_2018_04_13_opinion_1523620881_400713.html.txt
142,13,-22,prisao-lula,elpais,656,28,6,1,551,31,44,65,brasil.elpais.com___brasil_2018_04_13_politica_1523629735_484727.html.txt
143,2,-12,prisao-lula,elpais,337,14,2,5,288,16,18,36,brasil.elpais.com___brasil_2018_04_14_politica_1523729933_579711.html.txt
144,-5,-5,prisao-lula,elpais,368,18,13,3,303,31,26,42,brasil.elpais.com___brasil_2018_04_16_politica_1523883729_575620.html.txt
145,1,-12,prisao-lula,elpais,517,19,7,2,407,38,39,61,brasil.elpais.com___brasil_2018_04_17_politica_1523982512_260960.html.txt
146,-4,-2,prisao-lula,elpais,126,4,2,1,112,7,3,11,brasil.elpais.com___brasil_2018_04_17_politica_1523996475_699405.html.txt
147,22,-15,prisao-lula,elpais,450,22,7,1,382,19,41,38,brasil.elpais.com___brasil_2018_04_17_politica_1524000623_559794.html.txt
148,-9,-2,prisao-lula,elpais,380,21,19,4,341,26,17,40,brasil.elpais.com___brasil_2018_04_26_politica_1524693896_904880.html.txt
149,0,-2,prisao-lula,elpais,782,29,27,1,650,53,53,83,brasil.elpais.com___brasil_2018_04_27_opinion_1524780731_282172.html.txt
150,11,12,prisao-lula,elpais,609,14,26,11,499,37,48,76,brasil.elpais.com___brasil_2018_05_04_politica_1525450574_426616.html.txt
151,9,-7,prisao-lula,elpais,337,15,8,2,296,16,25,25,brasil.elpais.com___brasil_2018_05_11_politica_1525993566_602121.html.txt
152,1,-3,prisao-lula,elpais,112,4,1,0,104,2,3,8,brasil.elpais.com___brasil_2018_05_14_politica_1526313397_289889.html.txt
153,-4,-6,prisao-lula,elpais,182,9,3,1,139,14,10,32,brasil.elpais.com___brasil_2018_05_16_opinion_1526496010_352483.html.txt
154,17,-8,prisao-lula,elpais,550,19,11,5,432,32,49,72,brasil.elpais.com___brasil_2018_05_25_internacional_1527247722_723152.html.txt
155,11,-2,prisao-lula,elpais,261,17,15,6,218,23,34,24,brasil.elpais.com___brasil_2018_06_15_opinion_1529073609_286008.html.txt
156,21,5,prisao-lula,elpais,626,23,28,2,523,35,56,65,brasil.elpais.com___brasil_2018_07_08_politica_1531064107_845443.html.txt
157,5,-9,prisao-lula,elpais,395,20,11,4,337,23,28,42,brasil.elpais.com___brasil_2018_07_10_politica_1531249839_430186.html.txt
158,4,1,reforma-previdencia,elpais,240,1,2,0,174,8,12,49,brasil.elpais.com___brasil_2019_02_14_politica_1550153399_164356.html.txt
159,13,1,reforma-previdencia,elpais,295,5,6,0,240,8,21,37,brasil.elpais.com___brasil_2019_02_20_politica_1550665728_241052.html.txt
160,16,-2,reforma-previdencia,elpais,611,7,5,4,483,19,35,90,brasil.elpais.com___brasil_2019_02_20_politica_1550676678_385935.html.txt
161,13,1,reforma-previdencia,elpais,398,7,8,1,324,19,32,39,brasil.elpais.com___brasil_2019_02_20_politica_1550684558_009836.html.txt
162,24,9,reforma-previdencia,elpais,342,12,21,3,270,14,38,56,brasil.elpais.com___brasil_2019_02_27_internacional_1551284780_172281.html.txt
163,0,0,reforma-previdencia,elpais,0,0,0,0,0,0,0,0,brasil.elpais.com___brasil_2019_03_21_politica_1553128586_781216.html.txt
164,-5,1,reforma-previdencia,elpais,368,5,6,4,288,26,21,48,brasil.elpais.com___brasil_2019_03_27_politica_1553642262_663695.html.txt
165,11,0,reforma-previdencia,elpais,361,8,8,2,277,15,26,61,brasil.elpais.com___brasil_2019_03_28_politica_1553783247_132819.html.txt
166,14,2,reforma-previdencia,elpais,467,3,5,2,333,21,35,88,brasil.elpais.com___brasil_2019_04_03_politica_1554243545_893051.html.txt
167,2,2,reforma-previdencia,elpais,169,1,3,1,128,10,12,24,brasil.elpais.com___brasil_2019_04_03_politica_1554306984_314990.html.txt
168,-12,-10,soltura-lula,elpais,549,21,11,1,446,42,30,64,brasil.elpais.com___brasil_2019_04_05_politica_1554495483_053081.html.txt
169,3,3,reforma-previdencia,elpais,186,1,4,3,142,11,14,27,brasil.elpais.com___brasil_2019_04_09_politica_1554829618_536224.html.txt
170,-2,-2,reforma-previdencia,elpais,280,8,6,2,222,18,16,40,brasil.elpais.com___brasil_2019_04_16_politica_1555435394_456546.html.txt
171,-2,-4,reforma-previdencia,elpais,435,9,5,5,351,28,26,49,brasil.elpais.com___brasil_2019_04_24_politica_1556069205_678365.html.txt
172,5,1,reforma-previdencia,elpais,350,5,6,0,270,17,22,52,brasil.elpais.com___brasil_2019_05_01_politica_1556736036_111232.html.txt
173,16,-2,reforma-previdencia,elpais,452,18,16,6,330,35,51,76,brasil.elpais.com___brasil_2019_05_04_opinion_1557004970_457239.html.txt
174,31,10,reforma-previdencia,elpais,1311,18,28,13,985,87,118,180,brasil.elpais.com___brasil_2019_05_13_politica_1557776028_131882.html.txt
175,2,-10,reforma-previdencia,elpais,434,19,9,7,340,25,27,77,brasil.elpais.com___brasil_2019_05_21_politica_1558444389_943589.html.txt
176,20,-3,soltura-lula,elpais,442,14,11,6,353,19,39,62,brasil.elpais.com___brasil_2019_05_24_politica_1558716869_495068.html.txt
177,7,-1,reforma-previdencia,elpais,530,12,11,3,416,26,33,81,brasil.elpais.com___brasil_2019_05_24_politica_1558728044_580166.html.txt
178,-1,0,reforma-previdencia,elpais,389,6,6,3,303,18,17,66,brasil.elpais.com___brasil_2019_05_30_economia_1559249875_744795.html.txt
179,29,6,reforma-previdencia,elpais,773,5,11,2,594,36,65,96,brasil.elpais.com___brasil_2019_06_04_politica_1559606467_397200.html.txt
180,-6,4,reforma-previdencia,elpais,340,3,7,4,285,22,16,31,brasil.elpais.com___brasil_2019_06_11_politica_1560288422_885150.html.txt
181,30,11,reforma-previdencia,elpais,899,5,16,3,711,30,60,122,brasil.elpais.com___brasil_2019_06_13_politica_1560460971_232201.html.txt
182,22,12,reforma-previdencia,elpais,674,5,17,3,550,26,48,75,brasil.elpais.com___brasil_2019_06_14_politica_1560535520_728346.html.txt
183,0,-1,soltura-lula,elpais,118,7,6,1,107,9,9,7,brasil.elpais.com___brasil_2019_06_25_politica_1561486216_484958.html.txt
184,14,-2,reforma-previdencia,elpais,307,7,5,2,250,13,27,31,brasil.elpais.com___brasil_2019_07_02_politica_1562025480_133184.html.txt
185,5,4,reforma-previdencia,elpais,151,0,4,0,121,7,12,15,brasil.elpais.com___brasil_2019_07_04_politica_1562240232_668933.html.txt
186,12,5,reforma-previdencia,elpais,725,11,16,3,568,41,53,93,brasil.elpais.com___brasil_2019_07_05_politica_1562277830_797738.html.txt
187,3,3,reforma-previdencia,elpais,185,1,4,2,146,7,10,29,brasil.elpais.com___brasil_2019_07_09_politica_1562667588_576954.html.txt
